workflow_species_label	source_species_name	accepted_species_name	ncbi_taxon_id	parent_taxon_id	parent_taxon_name	lineage_taxon_ids	lineage_names	mapping_status	mapping_method	mapping_source	source_date	source_version	reviewed_by	reviewed_at_utc	review_note
Daphnia_magna	Daphnia magna	Daphnia magna	35525	6668	Daphnia	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;3701028;3701030;6658;116557;84337;6665;116561;77658;6668	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Branchiopoda;Phyllopoda;Diplostraca;Cladocera;Anomopoda;Daphniidae;Daphnia	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Dictyostelium_discoideum	Dictyostelium discoideum	Dictyostelium discoideum	44689	5782	Dictyostelium	131567;2759;554915;2605435;142796;33083;2058949;2058185;5782	cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Drosophila_melanogaster	Drosophila melanogaster	Drosophila melanogaster	7227	32351	melanogaster subgroup	131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;3701028;3701030;6960;50557;85512;7496;33340;3701061;33392;3701062;3701063;7147;7203;43733;480118;480117;43738;43741;43746;7214;43845;46877;7215;32341;32346;32351	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;melanogaster group;melanogaster subgroup	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Gallus_gallus	Gallus gallus	Gallus gallus	9031	9030	Gallus	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;8457;32561;1329799;8492;436486;436489;436491;436492;8782;8825;1549675;8976;9005;9072;9030	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Galliformes;Phasianidae;Phasianinae;Gallus	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Giardia_intestinalis	Giardia intestinalis	Giardia duodenalis	5741	5740	Giardia	131567;2759;2611341;207245;5738;5739;68459;5740	cellular organisms;Eukaryota;Metamonada;Fornicata;Diplomonadida;Hexamitidae;Giardiinae;Giardia	REVIEWED	NCBI_TAXDUMP_EXACT_ALL_NAMES	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI synonym/all-names match; accepted scientific name is Giardia duodenalis.
Glycine_max	Glycine max	Glycine max	3847	1462606	Glycine subgen. Soja	131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;72025;3803;3814;2231393;2231382;2233855;163735;3846;1462606	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;indigoferoid/millettioid clade;Phaseoleae;Glycine;Glycine subgen. Soja	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Gorilla_gorilla	Gorilla gorilla	Gorilla gorilla	9593	9592	Gorilla	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9592	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Gorilla	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Helobdella_robusta	Helobdella robusta	Helobdella robusta	6412	6411	Helobdella	131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6340;42113;55824;6406;6407;6411	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Clitellata;Hirudinea;Rhynchobdellida;Glossiphoniidae;Helobdella	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Homo_sapiens	Homo sapiens	Homo sapiens	9606	9605	Homo	131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
Hordeum_vulgare	Hordeum vulgare	Hordeum vulgare	4513	4512	Hordeum	131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;1648038;147389;1648017;4512	cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Hordeinae;Hordeum	REVIEWED	NCBI_TAXDUMP_EXACT_SCIENTIFIC_NAME	NCBI Taxonomy taxdump.tar.gz	2026-09-07	taxdump-2026-09-07T08:30Z	OpenAI Codex exact-match review for Peter Thorpe	2026-09-07T13:26:15.595489Z	Unique exact NCBI scientific-name match.
